"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-02","6.49",",,W"," 2126",",,X"," 2051",",,W","0.70",",,X,2400","0.5",",,X,","17.0",",,X,",,,"38",",,X","27",",,X",,,"  270",",,X","  270",",,X","21.9",",,X","38.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X","    1",",,X",,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-03","8.95",",,W"," 0828",",,X"," 0826",",,W","0.00",",,X,2400","0.0",",,X,","16.0",",,X,",,,"34",",,X","24",",,X",,,"  290",",,X","  290",",,X","19.9",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-04","6.04",",,W"," 1143",",,X"," 1517",",,W","0.00",",,X,2400","0.0",",,X,","16.0",",,X,",,,"34",",,X","23",",,X",,,"  230",",,X","  270",",,X","16.1",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-05","5.59",",,W"," 2112",",,X"," 2111",",,W","0.21",",,X,2400","0.0","T,,X,","15.0",",,X,",,,"43",",,X","31",",,X",,,"  240",",,X","  220",",,X","19.9",",,X","30.0",",,X","    1",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-06","6.93",",,W"," 0118",",,X"," 0057",",,W","0.00",",,X,2400","0.0",",,X,","15.0",",,X,",,,"45",",,X","37",",,X",,,"  250",",,X","  230",",,X","21.9",",,X","33.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-07","4.70",",,W"," 1430",",,X"," 1828",",,W","0.13",",,X,2400","0.0",",,X,","13.0",",,X,",,,"45",",,X","36",",,X",,,"  140",",,X","  170",",,X","13.0",",,X","16.1",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-08","12.30",",,W"," 1832",",,X"," 2104",",,W","0.11",",,X,2400","0.0",",,X,","11.0",",,Z,",,,"41",",,X","18",",,X",,,"  300",",,X","  270",",,X","23.0",",,X","38.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-09","8.05",",,W"," 0427",",,X"," 0156",",,W","0.00",",,X,2400","0.0",",,X,","10.0",",,X,",,,"29",",,X","15",",,X",,,"  270",",,X","  290",",,X","16.1",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-10","7.83",",,W"," 0906",",,X"," 0918",",,W","0.00",",,X,2400","0.0",",,X,","10.0",",,X,",,,"29",",,X","22",",,X",,,"  290",",,X","  300",",,X","16.1",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-11","6.04",",,W"," 1142",",,X"," 1400",",,W","0.00",",,X,2400","0.0",",,X,","8.0",",,X,",,,"37",",,X","19",",,X",,,"  240",",,X","  200",",,X","15.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-12","8.50",",,W"," 1630",",,X"," 1527",",,W","0.00",",,X,2400","0.0",",,X,","8.0",",,X,",,,"40",",,X","30",",,X",,,"  270",",,X","  270",",,X","19.9",",,X","34.9",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-13","7.83",",,W"," 2355",",,X"," 2354",",,W","0.00",",,X,2400","0.0",",,X,","8.0",",,X,",,,"46",",,X","28",",,X",,,"  220",",,X","  220",",,X","17.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-14","13.20",",,W"," 2155",",,X"," 2154",",,W","0.00",",,X,2400","0.0",",,X,","7.0",",,X,",,,"58",",,X","37",",,X",,,"  290",",,X","  290",",,X","31.1",",,X","42.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-15","11.63",",,W"," 0414",",,X"," 0201",",,W","0.00",",,X,2400","0.0",",,X,","5.0",",,X,",,,"37",",,X","25",",,X",,,"  290",",,X","  280",",,X","28.0",",,X","38.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-16","4.70",",,W"," 1349",",,X"," 1314",",,W","0.00",",,X,2400","0.0",",,X,","4.0",",,X,",,,"48",",,X","26",",,X",,,"  230",",,X","  260",",,X","16.1",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-17","4.25",",,W"," 0137",",,X"," 0052",",,W","0.00",",,X,2400","0.0",",,X,","2.0",",,X,",,,"63",",,X","46",",,X",,,"  230",",,X","  240",",,X","13.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-18","7.16",",,W"," 2312",",,X"," 2311",",,W","0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"67",",,X","46",",,X",,,"  270",",,X","  280",",,X","23.0",",,X","36.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-19","15.88",",,W"," 1910",",,X"," 2055",",,W","0.00","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"54",",,X","23",",,X",,,"  290",",,X","  300",",,X","31.1",",,X","47.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-20","8.72",",,W"," 0047",",,X"," 0251",",,W","0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"40",",,X","21",",,X",,,"  290",",,X","  300",",,X","21.9",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-21","8.28",",,W"," 2248",",,X"," 2247",",,W","0.34",",,X,2400","3.2",",,X,","3.0",",,X,",,,"37",",,X","24",",,X",,,"   30",",,X","   40",",,X","17.9",",,X","25.1",",,X","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-22","7.16",",,W"," 0134",",,X"," 0519",",,W","0.00",",,X,2400","0.0",",,X,","3.0",",,X,",,,"36",",,X","16",",,X",,,"   40",",,X","  330",",,X","17.9",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-23","3.58",",,W"," 0034",",,X"," 0343",",,W","0.00",",,X,2400","0.0",",,X,","2.0",",,X,",,,"40",",,X","21",",,X",,,"  340",",,X","   40",",,X","10.1",",,X","15.0",",,X",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-24","4.03",",,W"," 1500",",,X"," 1233",",,W","0.05",",,X,2400","0.0",",,X,","0.0",",,X,",,,"44",",,X","30",",,X",,,"  150",",,X","  180",",,X","12.1",",,X","17.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-25",,," 1533",",,X"," 1544",",,W","1.32",",,X,2400","0.0",",,X,","0.0",",,X,",,,"57",",,X","34",",,X",,,"  270",",,X","  290",",,X","21.0",",,X","32.0",",,X","    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-26",,," 2046",",,X"," 2111",",,W","0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"43",",,X","31",",,X",,,"  150",",,X","  160",",,X","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-27","6.49",",,W"," 1031",",,X"," 1030",",,W","0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"50",",,X","38",",,X",,,"  300",",,X","  290",",,X","16.1",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2011-02-28","9.62",",,W"," 1917",",,X"," 1155",",,W","0.44",",,X,2400","0.0",",,X,","0.0",",,X,",,,"60",",,X","40",",,X",,,"  300",",,X","  190",",,X","19.9",",,X","31.1",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,,,,,,,
